No,Nama Function,Kategori,Sintaks,Deskripsi,Contoh Kasus,Tingkat,Catatan
20,DSUM,Database,"=DSUM(database, field, criteria)",Menjumlahkan nilai dalam field sesuai kriteria.,Total penjualan cabang Bandung.,Intermediate,Mirip SUMIFS tapi khusus database.
21,DVAR,Database,"=DVAR(database, field, criteria)",Mengestimasi variansi sampel dari field sesuai kriteria.,Variansi nilai ujian 50 siswa (sampel).,Advanced,Analisis statistik sampel.
22,DVARP,Database,"=DVARP(database, field, criteria)",Menghitung variansi populasi dari field sesuai kriteria.,Variansi nilai ujian seluruh siswa.,Advanced,Analisis statistik populasi.
23,DATE,Date and Time,"=DATE(year, month, day)",Menghasilkan serial number dari tanggal tertentu.,"Membuat tanggal dari input tahun, bulan, dan hari.",Basic,-
24,DATEDIF,Date and Time,"=DATEDIF(start_date,end_date,unit)","Menghitung selisih hari, bulan, atau tahun antara dua tanggal.",Menghitung umur dari tanggal lahir.,Beginner,"Unit bisa ""Y"", ""M"", ""D""."
25,DATEVALUE,Date and Time,=DATEVALUE(date_text),Mengubah tanggal berbentuk teks menjadi serial number.,"Konversi ""01-01-2024"" menjadi nilai tanggal Excel.",Basic,Format teks harus valid.
26,DAY,Date and Time,=DAY(serial_number),Menghasilkan angka hari dari tanggal.,Dari 01/01/2024 menghasilkan 1.,Basic,-
27,DAYS,Date and Time,"=DAYS(end_date,start_date)",Menghitung jumlah hari antara dua tanggal.,Jumlah hari antara 1 Jan dan 31 Jan.,Basic,-
28,DAYS360,Date and Time,"=DAYS360(start_date,end_date,[method])",Menghitung jumlah hari berdasarkan tahun 360 hari.,Perhitungan bunga pinjaman.,Intermediate,-
29,EDATE,Date and Time,"=EDATE(start_date,months)",Menghasilkan tanggal sejumlah bulan sebelum/sesudah tanggal awal.,Tanggal jatuh tempo 3 bulan setelah tanggal invoice.,Intermediate,-
30,EOMONTH,Date and Time,"=EOMONTH(start_date,months)",Menghasilkan hari terakhir bulan sejumlah bulan sebelum/sesudah tanggal awal.,Menentukan akhir bulan untuk laporan keuangan.,Intermediate,-
31,HOUR,Date and Time,=HOUR(serial_number),Menghasilkan jam dari nilai waktu.,Dari 12:45 menghasilkan 12.,Basic,-
32,ISOWEEKNUM,Date and Time,=ISOWEEKNUM(date),Menghasilkan nomor minggu ISO dari sebuah tanggal.,Mengetahui minggu ke berapa dalam kalender ISO.,Intermediate,-
33,MINUTE,Date and Time,=MINUTE(serial_number),Menghasilkan menit dari nilai waktu.,Dari 12:45 menghasilkan 45.,Basic,-
34,MONTH,Date and Time,=MONTH(serial_number),Menghasilkan bulan dari tanggal.,Dari 01/02/2024 menghasilkan 2.,Basic,-
35,NETWORKDAYS,Date and Time,"=NETWORKDAYS(start_date,end_date,[holidays])",Menghitung jumlah hari kerja.,Menghitung jumlah hari kerja Januari 2024 tanpa libur nasional.,Intermediate,Perhitungan default weekend = Sabtu-Minggu.
36,NETWORKDAYS.INTL,Date and Time,"=NETWORKDAYS.INTL(start_date,end_date,weekend,[holidays])","Sama dengan NETWORKDAYS, tapi bisa atur hari libur mingguan.","Hitung kerja Senin–Sabtu, libur Jumat.",Advanced,-
37,NOW,Date and Time,=NOW(),Menghasilkan tanggal dan waktu saat ini.,Tampilkan timestamp saat file dibuka.,Basic,"Dinamis, berubah setiap refresh."
38,SECOND,Date and Time,=SECOND(serial_number),Menghasilkan detik dari nilai waktu.,Dari 12:45:30 menghasilkan 30.,Basic,-
39,TIME,Date and Time,"=TIME(hour,minute,second)","Membuat serial number waktu dari jam, menit, detik.",Membuat waktu 12:30:00.,Basic,-
40,TIMEVALUE,Date and Time,=TIMEVALUE(time_text),Mengubah waktu dalam teks ke serial number.,"""12:30 PM"" menjadi nilai waktu Excel.",Basic,Format teks harus valid.
41,TODAY,Date and Time,=TODAY(),Menghasilkan tanggal hari ini.,Membuat laporan harian otomatis.,Basic,"Dinamis, berubah setiap hari."
42,WEEKDAY,Date and Time,"=WEEKDAY(serial_number,[return_type])",Menghasilkan nomor hari dalam seminggu.,01/01/2024 menghasilkan 2 (Senin).,Basic,Return_type menentukan Senin/Minggu awal minggu.
43,WEEKNUM,Date and Time,"=WEEKNUM(serial_number,[return_type])",Menghasilkan nomor minggu dalam setahun.,Menentukan minggu ke berapa 01/01/2024.,Intermediate,Return_type bisa ISO atau default.
44,WORKDAY,Date and Time,"=WORKDAY(start_date,days,[holidays])",Menghasilkan tanggal kerja sebelum/sesudah sejumlah hari.,Hitung tanggal deadline 10 hari kerja setelah 1 Jan.,Intermediate,-
45,WORKDAY.INTL,Date and Time,"=WORKDAY.INTL(start_date,days,weekend,[holidays])","Sama dengan WORKDAY, tapi fleksibel weekend.",Deadline 10 hari kerja dengan libur Jumat-Sabtu.,Advanced,-
46,YEAR,Date and Time,=YEAR(serial_number),Menghasilkan tahun dari tanggal.,Dari 01/01/2024 menghasilkan 2024.,Basic,-
47,YEARFRAC,Date and Time,"=YEARFRAC(start_date,end_date,[basis])",Menghitung proporsi tahun antara dua tanggal.,Usia anak antara tanggal lahir sampai hari ini dalam pecahan tahun.,Advanced,Basis menentukan metode hitung.
48,BESSELI,Engineering,"=BESSELI(x, n)",Mengembalikan fungsi Bessel termodifikasi In(x).,"=BESSELI(1.5, 2) ? Menghasilkan nilai fungsi Bessel In(1.5) untuk orde 2",Advanced,Relevan untuk bidang teknik/fisika.
49,BESSELJ,Engineering,"=BESSELJ(x, n)",Mengembalikan fungsi Bessel Jn(x).,"=BESSELJ(3, 1) ? Menghasilkan nilai fungsi Bessel J1(3)",Advanced,Banyak digunakan di teknik/gelombang.
50,BESSELK,Engineering,"=BESSELK(x, n)",Mengembalikan fungsi Bessel termodifikasi Kn(x).,"=BESSELK(2.5, 1) ? Menghasilkan nilai fungsi Bessel K1(2.5)",Advanced,Umumnya untuk riset ilmiah/engineering.
51,BESSELY,Engineering,"=BESSELY(x, n)",Mengembalikan fungsi Bessel Yn(x).,"=BESSELY(5, 2) ? Menghasilkan nilai fungsi Bessel Y2(5)",Advanced,Konteks sains/engineering.
52,BIN2DEC,Engineering,=BIN2DEC(number),Mengubah bilangan biner menjadi bilangan desimal.,=BIN2DEC(1011) ? 11,Intermediate,Berguna di sistem digital.
53,BIN2HEX,Engineering,"=BIN2HEX(number, [places])",Mengubah bilangan biner menjadi heksadesimal.,=BIN2HEX(1011) ? B,Intermediate,Praktis untuk konversi komputer.
54,BIN2OCT,Engineering,"=BIN2OCT(number, [places])",Mengubah bilangan biner menjadi oktal.,=BIN2OCT(1011) ? 13,Intermediate,Relevan untuk sistem bilangan digital.
55,BITAND,Engineering,"=BITAND(number1, number2)",Menghasilkan bitwise AND dari dua angka.,"=BITAND(7,3) ? 3",Intermediate,Operasi bit tingkat rendah.
56,BITLSHIFT,Engineering,"=BITLSHIFT(number, shift_amount)",Menggeser angka biner ke kiri sejumlah bit.,"=BITLSHIFT(5,2) ? 20",Intermediate,Umum di pemrograman digital.
57,BITOR,Engineering,"=BITOR(number1, number2)",Menghasilkan bitwise OR dari dua angka.,"=BITOR(7,3) ? 7",Intermediate,Dasar manipulasi bit.
58,BITRSHIFT,Engineering,"=BITRSHIFT(number, shift_amount)",Menggeser angka biner ke kanan sejumlah bit.,"=BITRSHIFT(20,2) ? 5",Intermediate,Kebalikan BITLSHIFT.
59,BITXOR,Engineering,"=BITXOR(number1, number2)",Menghasilkan bitwise XOR dari dua angka.,"=BITXOR(5,3) ? 6",Intermediate,Berguna untuk operasi logika digital.
60,COMPLEX,Engineering,"=COMPLEX(real_num, i_num, [suffix])",Mengonversi bilangan real dan imajiner ke bentuk kompleks.,"=COMPLEX(3,4) ? 3+4i",Intermediate,Berguna dalam perhitungan matematis.
61,CONVERT,Engineering,"=CONVERT(number, from_unit, to_unit)",Mengubah angka dari satu sistem satuan ke satuan lain.,"=CONVERT(10,""cm"",""in"") ? 3.937",Beginner,Sangat berguna di banyak bidang.
62,DEC2BIN,Engineering,"=DEC2BIN(number, [places])",Mengubah angka desimal menjadi biner.,=DEC2BIN(11) ? 1011,Intermediate,Untuk sistem bilangan komputer.
63,DEC2HEX,Engineering,"=DEC2HEX(number, [places])",Mengubah angka desimal menjadi heksadesimal.,=DEC2HEX(255) ? FF,Intermediate,Konversi umum di digital.
64,DEC2OCT,Engineering,"=DEC2OCT(number, [places])",Mengubah angka desimal menjadi oktal.,=DEC2OCT(58) ? 72,Intermediate,Relevan di pemrograman/komputasi.
65,DELTA,Engineering,"=DELTA(number1, [number2])","Menguji apakah dua nilai sama (kembalikan 1 jika sama, 0 jika beda).","=DELTA(5,5) ? 1",Beginner,Alternatif cepat untuk tes kesamaan.
66,ERF,Engineering,"=ERF(lower_limit, [upper_limit])",Mengembalikan fungsi error (probabilitas distribusi normal).,=ERF(0.2) ? 0.2227,Advanced,Dipakai di statistik.
67,ERF.PRECISE,Engineering,=ERF.PRECISE(x),Versi lebih tepat dari fungsi ERF.,=ERF.PRECISE(1) ? 0.8427,Advanced,Sama dengan ERF tetapi lebih akurat.
68,ERFC,Engineering,=ERFC(x),Mengembalikan fungsi komplemen dari error function.,=ERFC(1) ? 0.1573,Advanced,Statistik/teknik.
69,ERFC.PRECISE,Engineering,=ERFC.PRECISE(x),Versi lebih tepat dari fungsi ERFC.,=ERFC.PRECISE(1) ? 0.1573,Advanced,Digunakan untuk distribusi probabilitas.
70,GESTEP,Engineering,"=GESTEP(number, [step])",Menguji apakah angka lebih besar atau sama dengan ambang batas.,"=GESTEP(5,4) ? 1",Beginner,Cocok untuk logika threshold.
71,HEX2BIN,Engineering,"=HEX2BIN(number, [places])",Mengubah bilangan heksadesimal ke biner.,"=HEX2BIN(""F"") ? 1111",Intermediate,Untuk konversi data digital.
72,HEX2DEC,Engineering,=HEX2DEC(number),Mengubah bilangan heksadesimal ke desimal.,"=HEX2DEC(""F"") ? 15",Intermediate,Umum di konversi komputer.
73,HEX2OCT,Engineering,"=HEX2OCT(number, [places])",Mengonversi bilangan heksadesimal menjadi bilangan oktal,"=HEX2OCT(""F"") ? 17",Basic,Pastikan input valid (0–FFFFFFFFF)
74,IMABS,Engineering,=IMABS(inumber),Mengembalikan nilai absolut (modulus) dari bilangan kompleks,"=IMABS(""3+4i"") ? 5",Intermediate,Berguna dalam analisis bilangan kompleks
75,IMAGINARY,Engineering,=IMAGINARY(inumber),Mengembalikan koefisien imajiner dari bilangan kompleks,"=IMAGINARY(""3+4i"") ? 4",Basic,Pasangan dengan IMREAL
76,IMARGUMENT,Engineering,=IMARGUMENT(inumber),Mengembalikan argumen sudut (theta) bilangan kompleks dalam radian,"=IMARGUMENT(""1+i"") ? 0.785398 (?/4)",Advanced,Untuk representasi polar
77,IMCONJUGATE,Engineering,=IMCONJUGATE(inumber),Mengembalikan konjugat dari bilangan kompleks,"=IMCONJUGATE(""3+4i"") ? 3-4i",Intermediate,Penting dalam aljabar kompleks
78,IMCOS,Engineering,=IMCOS(inumber),Mengembalikan nilai cosinus dari bilangan kompleks,1.54308063481524,Advanced,Hasil berupa bilangan kompleks
79,IMCOSH,Engineering,=IMCOSH(inumber),Mengembalikan nilai cosinus hiperbolik dari bilangan kompleks,0.833730025131149+0.988897705762865i,Advanced,Sering digunakan dalam perhitungan teknik
80,IMCOT,Engineering,=IMCOT(inumber),Mengembalikan nilai cotangen dari bilangan kompleks,0.217621561854403-0.868014142895925i,Advanced,Berhubungan dengan fungsi trigonometri kompleks
81,IMCSC,Engineering,=IMCSC(inumber),Mengembalikan nilai cosecan dari bilangan kompleks,0.621518017170428-0.303931001628427i,Advanced,Hasil bisa berupa bilangan kompleks
82,IMCSCH,Engineering,=IMCSCH(inumber),Mengembalikan nilai cosecan hiperbolik dari bilangan kompleks,0.303931001628426-0.621518017170429i,Advanced,Perhitungan lebih advance
83,IMDIV,Engineering,"=IMDIV(inumber1, inumber2)",Mengembalikan hasil bagi dari dua bilangan kompleks,3.5+0.5i,Intermediate,Numerator tidak boleh kosong
84,IMEXP,Engineering,=IMEXP(inumber),Mengembalikan eksponensial (e^x) dari bilangan kompleks,"=IMEXP(""0+PI()i"") ? -1",Advanced,Cocok untuk perhitungan teknik
85,IMLN,Engineering,=IMLN(inumber),Mengembalikan logaritma natural dari bilangan kompleks,0.346573590279973+0.785398163397448i,Advanced,Output dalam bentuk kompleks
86,IMLOG10,Engineering,=IMLOG10(inumber),Mengembalikan logaritma basis-10 dari bilangan kompleks,2,Advanced,Hasil dapat berupa kompleks
87,IMLOG2,Engineering,=IMLOG2(inumber),Mengembalikan logaritma basis-2 dari bilangan kompleks,"=IMLOG2(""8"") ? 3",Advanced,
88,IMPOWER,Engineering,"=IMPOWER(inumber, number)",Mengembalikan bilangan kompleks yang dipangkatkan dengan integer,2+11i,Advanced,Pangkat bisa negatif
89,IMPRODUCT,Engineering,"=IMPRODUCT(inumber1, [inumber2], …)",Mengembalikan hasil perkalian bilangan kompleks,11+10i,Intermediate,Bisa lebih dari dua argumen
90,IMREAL,Engineering,=IMREAL(inumber),Mengembalikan koefisien real dari bilangan kompleks,"=IMREAL(""3+4i"") ? 3",Basic,Pasangan dengan IMAGINARY
91,IMSEC,Engineering,=IMSEC(inumber),Mengembalikan nilai secan dari bilangan kompleks,0.498337030555187+0.591083841721045i,Advanced,Bagian dari trig kompleks
92,IMSECH,Engineering,=IMSECH(inumber),Mengembalikan nilai secan hiperbolik dari bilangan kompleks,0.498337030555187-0.591083841721045i,Advanced,Jarang dipakai di level dasar
93,IMSIN,Engineering,=IMSIN(inumber),Mengembalikan nilai sinus dari bilangan kompleks,1.1752011936438i,Advanced,
94,IMSINH,Engineering,=IMSINH(inumber),Mengembalikan nilai sinus hiperbolik dari bilangan kompleks,0.634963914784736+1.29845758141598i,Advanced,
95,IMSQRT,Engineering,=IMSQRT(inumber),Mengembalikan akar kuadrat dari bilangan kompleks,"=IMSQRT(""-1"") ? i",Intermediate,Sangat berguna di aljabar kompleks
96,IMSUB,Engineering,"=IMSUB(inumber1, inumber2)",Mengembalikan selisih antara dua bilangan kompleks,"=IMSUB(""3+4i"",""1+2i"") ? 2+2i",Basic,
97,IMSUM,Engineering,"=IMSUM(inumber1, [inumber2], …)",Mengembalikan jumlah dari bilangan kompleks,4+6i,Basic,Bisa lebih dari dua argumen
98,IMTAN,Engineering,=IMTAN(inumber),Mengembalikan nilai tangen dari bilangan kompleks,0.271752585319512+1.08392332733869i,Advanced,
99,OCT2BIN,Engineering,"=OCT2BIN(number, [places])",Mengonversi bilangan oktal menjadi biner,"=OCT2BIN(""17"") ? 1111",Basic,Input valid: 0–777
100,OCT2DEC,Engineering,=OCT2DEC(number),Mengonversi bilangan oktal menjadi desimal,"=OCT2DEC(""17"") ? 15",Basic,
101,OCT2HEX,Engineering,"=OCT2HEX(number, [places])",Mengonversi bilangan oktal menjadi heksadesimal,"=OCT2HEX(""17"") ? F",Basic,
102,ACCRINT,Financial,"=ACCRINT(issue, first_interest, settlement, rate, par, frequency, [basis], [calc_method])",Menghitung bunga yang terakumulasi untuk sekuritas dengan pembayaran bunga periodik,12.5,Intermediate,Basis default = 0 (NASD)
103,ACCRINTM,Financial,"=ACCRINTM(issue, settlement, rate, par, [basis])",Menghitung bunga yang terakumulasi untuk sekuritas dengan pembayaran bunga pada saat jatuh tempo,45.83333333,Intermediate,Basis default = 0 (NASD)
104,AMORDEGRC,Financial,"=AMORDEGRC(cost, date_purchased, first_period, salvage, period, rate, [basis])",Menghitung depresiasi tiap periode akuntansi menggunakan koefisien depresiasi,2400,Advanced,Mengikuti standar akuntansi Prancis
105,AMORLINC,Financial,"=AMORLINC(cost, date_purchased, first_period, salvage, period, rate, [basis])",Menghitung depresiasi tiap periode akuntansi dengan metode linier,2000,Intermediate,
106,COUPDAYBS,Financial,"=COUPDAYBS(settlement, maturity, frequency, [basis])",Menghitung jumlah hari dari awal periode kupon hingga tanggal penyelesaian,90,Intermediate,
107,COUPDAYS,Financial,"=COUPDAYS(settlement, maturity, frequency, [basis])",Menghitung jumlah hari dalam periode kupon yang berisi tanggal penyelesaian,180,Intermediate,
108,COUPDAYSNC,Financial,"=COUPDAYSNC(settlement, maturity, frequency, [basis])",Menghitung jumlah hari dari tanggal penyelesaian hingga kupon berikutnya,90,Intermediate,
109,COUPNCD,Financial,"=COUPNCD(settlement, maturity, frequency, [basis])",Mengembalikan tanggal kupon berikutnya setelah tanggal penyelesaian,45839,Intermediate,
110,COUPNUM,Financial,"=COUPNUM(settlement, maturity, frequency, [basis])",Menghitung jumlah kupon yang dibayarkan antara tanggal penyelesaian dan jatuh tempo,2,Intermediate,
111,COUPPCD,Financial,"=COUPPCD(settlement, maturity, frequency, [basis])",Mengembalikan tanggal kupon sebelumnya sebelum tanggal penyelesaian,45658,Intermediate,
112,CUMIPMT,Financial,"=CUMIPMT(rate, nper, pv, start_period, end_period, type)",Menghitung jumlah bunga yang dibayarkan antara dua periode,-5889.216434,Intermediate,
113,CUMPRINC,Financial,"=CUMPRINC(rate, nper, pv, start_period, end_period, type)",Menghitung jumlah pokok yang dibayarkan antara dua periode,-450.1657094,Intermediate,
114,DB,Financial,"=DB(cost, salvage, life, period, [month])",Menghitung depresiasi aset per periode menggunakan metode saldo menurun tetap,"£3,690.00",Intermediate,
115,DDB,Financial,"=DDB(cost, salvage, life, period, [factor])",Menghitung depresiasi aset per periode menggunakan metode double declining balance,"£4,000.00",Intermediate,Factor default = 2
116,DISC,Financial,"=DISC(settlement, maturity, pr, redemption, [basis])",Menghitung tingkat diskonto untuk sekuritas,0.066666667,Intermediate,
117,DOLLARDE,Financial,"=DOLLARDE(fractional_dollar, fraction)",Mengubah harga dollar dari pecahan ke desimal,"=DOLLARDE(1.02,16) ? 1.125",Basic,
118,DOLLARFR,Financial,"=DOLLARFR(decimal_dollar, fraction)",Mengubah harga dollar dari desimal ke pecahan,"=DOLLARFR(1.125,16) ? 1.02",Basic,
119,DURATION,Financial,"=DURATION(settlement, maturity, coupon, yld, frequency, [basis])",Menghitung durasi tahunan sekuritas dengan pembayaran bunga periodik,0.737746847,Advanced,
120,EFFECT,Financial,"=EFFECT(nominal_rate, npery)",Menghitung tingkat bunga efektif tahunan,"=EFFECT(0.06,2) ? 0.0609",Basic,
121,FV,Financial,"=FV(rate, nper, pmt, [pv], [type])",Menghitung nilai masa depan investasi,£855.78,Basic,
122,FVSCHEDULE,Financial,"=FVSCHEDULE(principal, schedule)",Menghitung nilai masa depan dari modal awal setelah menerapkan serangkaian tingkat bunga majemuk,1190.91,Intermediate,
123,INTRATE,Financial,"=INTRATE(settlement, maturity, investment, redemption, [basis])",Menghitung tingkat bunga untuk sekuritas yang diinvestasikan penuh,0.266666667,Intermediate,
124,IPMT,Financial,"=IPMT(rate, per, nper, pv, [fv], [type])",Menghitung pembayaran bunga untuk investasi per periode,-£50.00,Basic,
125,IRR,Financial,"=IRR(values, [guess])",Menghitung internal rate of return untuk serangkaian arus kas,"=IRR({-1000,300,400,500}) ? 0.138",Intermediate,
126,ISPMT,Financial,"=ISPMT(rate, per, nper, pv)",Menghitung bunga dibayarkan selama periode tertentu,-40,Intermediate,
127,MDURATION,Financial,"=MDURATION(settlement, maturity, coupon, yld, frequency, [basis])",Menghitung Macauley modified duration untuk sekuritas dengan nilai nominal $100,0.716259075,Advanced,
128,MIRR,Financial,"=MIRR(values, finance_rate, reinvest_rate)",Menghitung internal rate of return dengan arus kas positif dan negatif dibiayai dengan tingkat berbeda,8%,Advanced,
129,NOMINAL,Financial,"=NOMINAL(effect_rate, npery)",Menghitung tingkat bunga nominal tahunan,0.059126028,Basic,
130,NPER,Financial,"=NPER(rate, pmt, pv, [fv], [type])",Menghitung jumlah periode untuk suatu investasi,#NUM!,Basic,
131,NPV,Financial,"=NPV(rate, value1, [value2], ...)",Menghitung net present value dari arus kas periodik,"£1,080.44",Intermediate,
132,ODDFPRICE,Financial,"=ODDFPRICE(settlement, maturity, rate, yld, redemption, frequency, [basis])",Menghitung harga per $100 face value untuk sekuritas dengan periode pertama ganjil,"=ODDFPRICE(""01-04-2025"",""01-01-2026"",0.05,0.06,100,2)",Intermediate,
133,ODDFYIELD,Financial,"=ODDFYIELD(settlement, maturity, rate, pr, redemption, frequency, [basis])",Menghitung yield sekuritas dengan periode pertama ganjil,"=ODDFYIELD(""01-04-2025"",""01-01-2026"",0.05,95,100,2)",Intermediate,
134,ODDLPRICE,Financial,"=ODDLPRICE(settlement, maturity, rate, yld, redemption, frequency, [basis])",Menghitung harga per $100 face value untuk sekuritas dengan periode terakhir ganjil,"=ODDLPRICE(""01-04-2025"",""01-01-2026"",0.05,0.06,100,2)",Intermediate,
135,ODDLYIELD,Financial,"=ODDLYIELD(settlement, maturity, rate, pr, redemption, frequency, [basis])",Menghitung yield sekuritas dengan periode terakhir ganjil,"=ODDLYIELD(""01-04-2025"",""01-01-2026"",0.05,95,100,2)",Intermediate,
136,PDURATION,Financial,"=PDURATION(rate, pv, fv)",Menghitung jumlah periode yang diperlukan investasi untuk mencapai nilai tertentu,14.20669908,Intermediate,
137,PMT,Financial,"=PMT(rate, nper, pv, [fv], [type])",Menghitung pembayaran periodik untuk anuitas,"-£1,584.85",Basic,Negatif = pembayaran keluar
138,PPMT,Financial,"=PPMT(rate, per, nper, pv, [fv], [type])",Menghitung pembayaran pokok pada periode tertentu,-£84.85,Intermediate,
139,PRICE,Financial,"=PRICE(settlement, maturity, rate, yld, redemption, frequency, [basis])",Menghitung harga per $100 face value sekuritas dengan bunga periodik,99.26793583,Intermediate,
140,PRICEDISC,Financial,"=PRICEDISC(settlement, maturity, discount, redemption, [basis])",Menghitung harga per $100 face value sekuritas diskonto,96.25,Intermediate,
141,PRICEMAT,Financial,"=PRICEMAT(settlement, maturity, issue, rate, yld, [basis])",Menghitung harga per $100 face value sekuritas dengan bunga dibayarkan saat jatuh tempo,99.2284689,Intermediate,
142,PV,Financial,"=PV(rate, nper, pmt, [fv], [type])",Menghitung present value investasi,"£18,929.29",Basic,
143,RATE,Financial,"=RATE(nper, pmt, pv, [fv], [type], [guess])",Menghitung tingkat bunga per periode anuitas,0%,Intermediate,
144,RECEIVED,Financial,"=RECEIVED(settlement, maturity, investment, discount, [basis])",Menghitung jumlah diterima saat jatuh tempo untuk sekuritas,1038.961039,Intermediate,
145,RRI,Financial,"=RRI(nper, pv, fv)",Menghitung tingkat bunga ekuivalen untuk pertumbuhan investasi,0.148698355,Basic,
146,SLN,Financial,"=SLN(cost, salvage, life)",Menghitung depresiasi metode garis lurus untuk satu periode,"£1,800.00",Basic,
147,SYD,Financial,"=SYD(cost, salvage, life, period)",Menghitung depresiasi metode sum-of-years digits untuk periode tertentu,"£3,000.00",Intermediate,
148,TBILLEQ,Financial,"=TBILLEQ(settlement, maturity, discount)",Menghitung bond-equivalent yield Treasury bill,0.051343368,Intermediate,
149,TBILLPRICE,Financial,"=TBILLPRICE(settlement, maturity, discount)",Menghitung harga per $100 face value Treasury bill,98.73611111,Intermediate,
150,TBILLYIELD,Financial,"=TBILLYIELD(settlement, maturity, pr)",Menghitung yield Treasury bill,0.20821284,Intermediate,
151,VDB,Financial,"=VDB(cost, salvage, life, start_period, end_period, [factor], [no_switch])",Menghitung depresiasi aset untuk periode tertentu menggunakan metode declining balance,"£1,200.00",Intermediate,
